Starting proxy server at: :7800 verbose: true
upstream server http://localhost:6543
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... ohcrest.doceng.oraclecorp.com:80
dialing upstream proxy... ohcrest.doceng.oraclecorp.com:80
dialing upstream proxy... ohcrest.doceng.oraclecorp.com:80
dialing upstream proxy... ohcrest.doceng.oraclecorp.com:80
dialing upstream proxy... ohcrest.doceng.oraclecorp.com:80
dialing upstream proxy... ohcrest.doceng.oraclecorp.com:80
dialing upstream proxy... ohcrest.doceng.oraclecorp.com:80
dialing upstream proxy... ohcrest.doceng.oraclecorp.com:80
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... confluence.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... orahub.oraclecorp.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
dialing upstream proxy... oc-10-252-134-110.nat-ucfc2z3b.usdv1.oraclecloud.com:443
